Category;SubCategory;Acronym;Organisation-FR;Description;Address;Apartment;City;Province;Postal Code;Métro;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;OpenHours;Phone1;Phone2;Fax;Website;Email;Notes
WorkAccidents;;CNESST;Commission des normes, de l'équité, de la santé et de la sécurité du travail;"La CNESST est l'organisme auquel le gouvernement du Québec a confié la promotion des droits et des obligations en matière de travail. Elle en assure le respect auprès des travailleurs et des employeurs québécois.";1 Complexe Desjardins, Tour Sud, 31e étage, C.P.3, Succursale Desjardins;;Montréal;Québec;H5B 1H1;Place des Arts;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi : 08h30 à 16h30;1 844 838-0808;;;https://www.cnesst.gouv.qc.ca/Pages/accueil.aspx;;
WorkAccidents;CommunityOrganizations;UTTAM;Union des travailleurs et travailleuses accidenté(e)s de Montréal;"L'uttam est une association de travailleuses et travailleurs accidentés ou malades qui leur permet de mettre en commun leur réalité, de s’organiser, de faire entendre leur voix et de revendiquer leurs droits.L’uttam organise différentes activités de formation, d’information et de mobilisation. Elle s'allie aussi avec d'autres associations d'accidentés du travail et organisations ouvrières afin de mener des luttes pour améliorer le régime d'indemnisation. ";2348 Rue Hochelaga;;Montréal;Québec;H2K 1H8;Frontenac;;09h00-12h00;09h00-12h00;12h00-16h30;09h00-12h00;;;Lundi, mardi, jeudi : 09h00 à 12h00, mercredi: 12h00 à 16h30;;;(514) 527-3661;https://uttam.quebec/;info@uttam.quebec;
WorkAccidents;CommunityOrganizations;FATA;Fondation pour l’aide aux travailleurs (ses) accidenté (es);"La FATA est un organisme communautaire qui offre un service de défense de leurs droits aux victimes de lésions professionnelles.Le service est aussi offert aux : - personnes accidentées de la route - personnes victimes d’actes criminels - personnes victimes d’actes de civisme (sauveteurs) - bénéficiaires de la sécurité du revenu - bénéficiaires d’une rente d’invalidité ou de décès. Il n’y a aucun frais pour les renseignements par téléphone. Il n’y a pas non plus de frais de services pour les personnes admissibles à l’aide juridique. Pour la liste des frais, vous pouvez consulter http://www.fata.qc.ca/services.html.";6839A, rue Drolet;;Montréal;Québec;H2S 2T1;Jean-Talon;;;;;;;;;(514) 271-0901;;;http://www.fata.qc.ca/services.html;fata@fata.qc.ca;Par rendez-vous. Information téléphonique gratuite, mais il y a des frais pour la représentation à l’audition de la CNESST audition ou un rencontre à leur bureau.
AutomobileAccidents;;SAAQ;Société de l’assurance automobile du Québec;Permis de conduire, immatriculation, accident de la route, transport de biens, transport de personnes, sécurité routière;7335, boulevard Langelier, C-14;;Montréal;Québec;H1S 1V7;;;08h30-16h30;08h30-16h30;09h30-16h30;08h30-16h30;08h30-16h30;;Lundi, mardi, jeudi, vendredi: 8h30 à 16h30,  mercredi: 9h30 à 16h30;(514) 873-7620;;;www.saaq.gouv.qc.ca;;
AutomobileAccidents;;SAAQ;Société de l’assurance automobile du Québec;Permis de conduire, immatriculation, accident de la route, transport de biens, transport de personnes, sécurité routière;855, boulevard Henri-Bourassa Ouest;;Montréal;Québec;H3L 1P3;;;08h30-16h30;08h30-16h30;09h30-16h30;08h30-16h30;08h30-16h30;;Lundi, mardi, jeudi, vendredi: 8h30 à 16h30,  mercredi: 9h30 à 16h30;(514) 873-7620;;;www.saaq.gouv.qc.ca;;
AutomobileAccidents;;;Fondation des accidenté(e)s de la route;Organisme sans but lucratif qui a comme objectif principal de venir en aide aux accidentés de la route. Cet organisme vise à réunir les victimes d’accidents de la route afin qu’elles puissent, ensemble, faire connaître et respecter leurs droits.;4949, rue Métropolitain Est;;Montréal;Québec;H1R 1Z6;;;;;;;;;;(514) 277-8555;;;;;For help with SAAQ claims. Membership Fee: $225
Welfare;;;Direction régionale d'Emploi-Québec;;276, rue St-Jacques Ouest, Mezzanine;;Montréal;Québec;H2Y 1N3;;;;;;;;;;(514) 725-5221;;(514) 725-6931;;;
Welfare;;;Centre local d’emploi de Côte-des-Neiges;;6655, chemin de la Côte-des-Neiges, 3e étage;;Montréal;Québec;H3S 2B4;;;;;;;;;;(514) 872-6530;;(514) 872-4758;;;
Welfare;;;Centre local d’emploi de Saint-Laurent;;6900, boulevard Décarie, bureau 3700;bureau 3700;Montréal;Québec;H4B 2L9;;;;;;;;;;(514) 345-0131;;(514) 345-6900;;;
Welfare;;;Centre de services spécialisés de l’ouest (Social Solidarity recipients);;2740, rue Remembrance, Rm. 70A (in Shopping Centre);Rm. 70A (in Shopping Centre);;;;Lionel Groulx, bus 191 ou express 491;;;;;;;;;(514) 634-2425;;(514) 634-8782;;;
